pct,month,address5,total_pericyazine,list_size,pericyazine_per_1000
00Q,2017-02-01,0.0,1.0,4814,0.2077274615704196
00Q,2017-03-01,0.0,1.0,4814,0.2077274615704196
00Q,2017-04-01,0.0,1.0,4805,0.2081165452653486
00Q,2017-05-01,0.0,1.0,4811,0.20785699438786115
00Q,2017-06-01,0.0,1.0,4813,0.2077706212341575
00Q,2017-07-01,0.0,1.0,4805,0.2081165452653486
00Q,2017-08-01,0.0,1.0,4816,0.20764119601328904
00Q,2017-09-01,0.0,1.0,4820,0.20746887966804978
00Q,2017-10-01,0.0,1.0,4808,0.2079866888519135
00Q,2017-11-01,0.0,1.0,4811,0.20785699438786115
00Q,2017-12-01,0.0,1.0,4821,0.20742584526031943
00Q,2018-01-01,0.0,1.0,4831,0.206996481059822
00Q,2018-02-01,0.0,1.0,4826,0.20721094073767093
00Q,2018-03-01,0.0,1.0,4830,0.2070393374741201
00Q,2018-04-01,0.0,1.0,4971,0.20116676725005028
00Q,2018-05-01,0.0,1.0,4856,0.20593080724876442
00Q,2018-06-01,0.0,1.0,4859,0.20580366330520683
00Q,2018-07-01,0.0,1.0,4872,0.20525451559934318
00Q,2018-08-01,0.0,1.0,4869,0.20538098172109262
00Q,2018-09-01,0.0,1.0,4860,0.205761316872428
00Q,2018-10-01,0.0,2.0,4851,0.4122861265718408
00Q,2018-11-01,0.0,1.0,4868,0.20542317173377156
00Q,2018-12-01,0.0,1.0,4866,0.2055076037813399
00Q,2019-01-01,0.0,1.0,4861,0.20571898786257972
00Q,2019-02-01,0.0,1.0,4840,0.2066115702479339
00Q,2019-03-01,0.0,1.0,4843,0.20648358455502788
00Q,2019-04-01,0.0,1.0,4843,0.20648358455502788
00Q,2019-05-01,0.0,1.0,4841,0.2065688907250568
00Q,2019-06-01,0.0,1.0,4844,0.20644095788604458
00R,2014-07-01,0.0,13.0,42422,1.5052987751694784
00R,2014-08-01,0.0,10.0,31356,1.2612745990850387
00R,2014-09-01,0.0,8.0,31593,1.0557662072860436
00R,2014-10-01,0.0,15.0,34292,2.277302723090422
00R,2014-11-01,0.0,12.0,34292,1.699313965071076
00R,2014-12-01,0.0,13.0,34292,2.3820335564159443
00R,2015-01-01,0.0,13.0,28107,1.7174795385618784
00R,2015-02-01,0.0,10.0,34413,1.5126865765249846
00R,2015-03-01,0.0,10.0,34413,1.5953968089680297
00R,2015-04-01,0.0,7.0,19744,1.3278290639335242
00R,2015-05-01,0.0,7.0,22662,1.2681150567926667
00R,2015-06-01,0.0,7.0,31449,1.0108481524071253
00R,2015-07-01,0.0,6.0,31367,0.9314452882908724
00R,2015-08-01,0.0,12.0,34327,1.9670273882962224
00R,2015-09-01,0.0,9.0,34327,1.4401794774916086
00R,2015-10-01,0.0,7.0,34464,1.735924086204056
00R,2015-11-01,0.0,11.0,34464,1.9291612831847453
00R,2015-12-01,0.0,9.0,34464,1.4383372968160186
00R,2016-01-01,0.0,8.0,34315,1.386720881874647
00R,2016-02-01,0.0,8.0,34315,1.386720881874647
00R,2016-03-01,0.0,9.0,34315,1.8006281666428587
00R,2016-04-01,0.0,7.0,41157,0.6886403671655699
00R,2016-05-01,0.0,10.0,43577,1.6788063600106127
00R,2016-06-01,0.0,11.0,43577,1.4341881791206115
00R,2016-07-01,0.0,11.0,43758,1.3762546127106545
00R,2016-08-01,0.0,5.0,37729,0.7684202110927462
00R,2016-09-01,0.0,7.0,24887,0.9557323697890749
00R,2016-10-01,0.0,7.0,26493,0.942993493859966
00R,2016-11-01,0.0,8.0,26493,1.365647762668081
00R,2016-12-01,0.0,4.0,24127,0.34339505093878375
00R,2017-01-01,0.0,13.0,37741,1.8802398986264734
00R,2017-02-01,0.0,7.0,22666,0.6166564363014241
00R,2017-03-01,0.0,8.0,26550,1.435663851386521
00R,2017-04-01,0.0,6.0,26470,0.9206179090893698
00R,2017-05-01,0.0,9.0,37610,1.1945028945357208
00R,2017-06-01,0.0,8.0,26524,1.0934895665453395
00R,2017-07-01,0.0,7.0,26545,1.0191881585287972
00R,2017-08-01,0.0,9.0,41911,0.849885631704023
00R,2017-09-01,0.0,5.0,42042,0.5030041972112803
00R,2017-10-01,0.0,10.0,51328,0.9541144740884226
00R,2017-11-01,0.0,7.0,42420,0.6702756169306334
00R,2017-12-01,0.0,8.0,42411,0.8345551748002933
00R,2018-01-01,0.0,7.0,42354,0.6710749918306268
00R,2018-02-01,0.0,11.0,42351,1.0142251162100684
00R,2018-03-01,0.0,5.0,42322,0.49934846635898394
00R,2018-04-01,0.0,5.0,29308,0.5071397709123433
00R,2018-05-01,0.0,10.0,42383,0.9075448123045352
00R,2018-06-01,0.0,9.0,42373,0.998383960847695
00R,2018-07-01,0.0,5.0,29308,0.5864626314234229
00R,2018-08-01,0.0,7.0,42552,0.6659484515582478
00R,2018-09-01,0.0,15.0,42658,1.3410081375091754
00R,2018-10-01,0.0,5.0,42663,0.48722697283304256
00R,2018-11-01,0.0,8.0,29541,0.8349907315304018
00R,2018-12-01,0.0,9.0,31246,0.8250597340584123
00R,2019-01-01,0.0,8.0,42786,0.736099715621756
00R,2019-02-01,0.0,6.0,29627,0.5832065727429743
00R,2019-03-01,0.0,8.0,42825,0.7345005582612065
00R,2019-04-01,0.0,2.0,24675,0.16294298849683914
00R,2019-05-01,0.0,16.0,42783,1.4861319979278869
00R,2019-06-01,0.0,4.0,42816,0.40984743260966827
00V,2014-07-01,0.0,2.0,17927,0.22813090354090415
00V,2014-08-01,0.0,3.0,26083,0.3507400256595898
00V,2014-09-01,0.0,3.0,17927,0.3253031900048047
00V,2014-10-01,0.0,3.0,26157,0.34975974593541476
00V,2014-11-01,0.0,2.0,17931,0.2281939788554245
00V,2014-12-01,0.0,2.0,17931,0.2281939788554245
00V,2015-01-01,0.0,2.0,17919,0.22852725097237903
00V,2015-02-01,0.0,2.0,17919,0.22852725097237903
00V,2015-03-01,0.0,4.0,26211,0.4807909873338299
00V,2015-04-01,0.0,3.0,17934,0.3601029470328492
00V,2015-05-01,0.0,2.0,17934,0.2284026968023737
00V,2015-06-01,0.0,3.0,17934,0.325105143374272
00V,2015-07-01,0.0,2.0,18024,0.22719205543768506
00V,2015-08-01,0.0,3.0,26325,0.3476594690023158
00V,2015-09-01,0.0,2.0,18024,0.22719205543768506
00V,2015-10-01,0.0,2.0,18821,0.21500769965408673
00V,2015-11-01,0.0,2.0,18087,0.2264062063565329
00V,2015-12-01,0.0,2.0,18087,0.2264062063565329
00V,2016-01-01,0.0,2.0,18132,0.2259857290734965
00V,2016-02-01,0.0,2.0,18132,0.2259857290734965
00V,2016-03-01,0.0,3.0,26588,0.3442449532929856
00V,2016-04-01,0.0,2.0,18155,0.22558785299311282
00V,2016-05-01,0.0,2.0,18155,0.22558785299311282
00V,2016-06-01,0.0,5.0,26627,0.5692115888946299
00V,2016-07-01,0.0,2.0,18335,0.22353651369892957
00V,2016-08-01,0.0,2.0,18335,0.22353651369892957
00V,2016-09-01,0.0,2.0,16231,0.2469539280524356
00V,2016-10-01,0.0,3.0,18315,0.31832666093840756
00V,2016-11-01,0.0,2.0,18315,0.22374612561257756
00V,2016-12-01,0.0,2.0,18315,0.22374612561257756
00V,2017-01-01,0.0,2.0,18581,0.220890641146112
00V,2017-02-01,0.0,3.0,27120,0.33800037296482616
00V,2017-03-01,0.0,1.0,10772,0.09283327144448571
00V,2017-04-01,0.0,4.0,18784,0.4729801198840423
00V,2017-05-01,0.0,3.0,18793,0.3101628643561465
00V,2017-06-01,0.0,3.0,27341,0.335804640923141
00V,2017-07-01,0.0,2.0,18857,0.21818413227347933
00V,2017-08-01,0.0,2.0,18934,0.21737646673002892
00V,2017-09-01,0.0,3.0,27468,0.33466009806127595
00V,2017-10-01,0.0,3.0,18994,0.343615155865563
00V,2017-11-01,0.0,2.0,11150,0.17937219730941703
00V,2017-12-01,0.0,4.0,19043,0.46932932145981604
00V,2018-01-01,0.0,3.0,27575,0.3335747915560618
00V,2018-02-01,0.0,3.0,19091,0.3423538803106861
00V,2018-03-01,0.0,2.0,19117,0.21557226277240568
00V,2018-04-01,0.0,1.0,7934,0.12603982858583312
00V,2018-05-01,0.0,2.0,16400,0.2441555125312519
00V,2018-08-01,0.0,1.0,8433,0.11858176212498517
00V,2018-12-01,0.0,1.0,8472,0.11803588290840417
00V,2019-02-01,0.0,2.0,38944,0.15098161856171988
00V,2019-04-01,0.0,1.0,30568,0.032713949227950796
00V,2019-06-01,0.0,1.0,8489,0.11779950524207798
